question_format,answer_format,label,,
What is [COURSE] about?,[COURSE]: [COURSE..desc].,description,,
What are the prereqs for [COURSE]?,The prerequisites for [COURSE] are: [COURSE..prerequisites].,prerequisites,,
Which courses are required to be taken before [COURSE]?,The prerequisites for [COURSE] are: [COURSE..prerequisites].,prerequisites,,
How many units does [COURSE] count towards?,[COURSE] counts for [COURSE..units].,units,,
When is [COURSE] typically offered?,[COURSE] is offered during the [COURSE..terms_offered] quarter(s).,terms_offered,,
During what quarters is [COURSE] typically offered?,[COURSE] is offered during the [COURSE..terms_offered] quarter(s).,terms_offered,,
Is [COURSE] going to be offered next quarter?,[COURSE] is offered during the [COURSE..terms_offered] quarter(s).,terms_offered,,
Is tutuoring offered for [COURSE],[Yes/No] ,binary,,
Is there any information on [COURSE]?,[Yes/No] ,binary,,
Is [COURSE] a 4 unit class?,[COURSE] is [COURSE..units] units.,units,,
What terms is [COURSE] typically offered?,[COURSE] is offered during the [COURSE..terms_offered] quarter(s).,terms_offered,,
Which terms is [COURSE] offered?,[COURSE] is offered during the [COURSE..terms_offered] quarter(s).,terms_offered,,
What are the prerequisites for [COURSE]?,The prerequisites for [COURSE] are: [COURSE..prerequisites].,prerequisites,,
What are the prerequisites for [COURSE]?,The prerequisites for [COURSE] are: [COURSE..prerequisites].,prerequisites,,
What classes do I have to take before [COURSE]?,The prerequisites for [COURSE] are: [COURSE..prerequisites].,prerequisites,,
What classes do I have to take before [COURSE]?,The prerequisites for [COURSE] are: [COURSE..prerequisites].,prerequisites,,
What are the recommended prerequisites for [COURSE]?,The prerequisites for [COURSE] are: [COURSE..prerequisites].,prerequisites,,
What are the recommended prerequisites for [COURSE]?,The prerequisites for [COURSE] are: [COURSE..prerequisites].,prerequisites,,
What classes do I need in order to take [COURSE]?,The prerequisites for [COURSE] are: [COURSE..prerequisites].,prerequisites,,
How many units is [COURSE]?,[COURSE] is [COURSE..units] units.,units,,
How many units is [COURSE]?,[COURSE] is [COURSE..units] units.,units,,
What is [COURSE] about?,[COURSE]: [COURSE..desc].,description,,
What is [COURSE] about?,[COURSE]: [COURSE..desc].,description,,
What topics are covered in [COURSE]?,[COURSE]: [COURSE..desc].,description,,
What topics are covered in [COURSE]?,[COURSE]: [COURSE..desc].,description,,
What is the course title for [COURSE]?,The title for [COURSE] is [COURSE..course_name].,course_name,,
What is [COURSE] also called?,The title for [COURSE] is [COURSE..course_name].,course_name,,
What is the name of [COURSE]?,The title for [COURSE] is [COURSE..course_name].,course_name,,
What is the course code for [COURSE]?,The title for [COURSE] is [COURSE..course_name].,course_name,,
How many times is [COURSE] offered per year?,[COURSE] is offered during the [COURSE..terms_offered] quarter(s).,terms_offered,,
When is [COURSE] offered?,[COURSE] is offered during the [COURSE..terms_offered] quarter(s).,terms_offered,,
When is [COURSE] available?,[COURSE] is offered during the [COURSE..terms_offered] quarter(s).,terms_offered,,
When can I take [COURSE]?,[COURSE] is offered during the [COURSE..terms_offered] quarter(s).,terms_offered,,
